"Time";"Sensor_Raw";"Voltage";"Distance_mm";"Label";"Q1";"Q3";"IQR";"Lower_Bound";"Upper_Bound"
"21:44:29.999";"3025";"2438";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:30.499";"3021";"2435";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:30.998";"3017";"2431";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:31.499";"3023";"2436";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:31.998";"3026";"2439";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:32.499";"3027";"2439";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:32.998";"3025";"2438";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:33.499";"3024";"2437";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:33.999";"3022";"2435";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:34.499";"3024";"2437";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:34.999";"3024";"2437";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:35.499";"3018";"2432";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:35.999";"3022";"2435";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:36.499";"3021";"2435";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:36.999";"3024";"2437";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:37.499";"3019";"2433";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:37.999";"3023";"2436";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:38.498";"3018";"2432";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:38.999";"3014";"2429";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:39.499";"3023";"2436";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:39.999";"3023";"2436";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:40.498";"3019";"2433";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:41.499";"3024";"2437";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:41.999";"3023";"2436";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
"21:44:42.499";"3019";"2433";"0";"0cm";"3018,50";"3024,00";"5,50";"3010,250";"3032,250"
