Time;Raw_ADC;
1771;1853;
1791;1876;
1811;1879;
1831;1869;
1851;1869;
1871;1842;
1891;1873;
1911;1870;
1931;1861;
1951;1861;
1971;1875;
1991;1857;
2011;1865;
2031;1872;
2051;1870;
2071;1894;
2091;1847;
2111;1881;
2131;1847;
2151;1876;
2171;1856;
2191;1861;
2211;1865;
2231;1870;
2251;1856;
2271;1871;
2291;1861;
2311;1856;
2331;1855;
2351;1872;
2371;1894;
2391;1866;
2411;1863;
2431;1870;
2451;1881;
2471;1874;
2491;1862;
2511;1877;
2531;1878;
2551;1879;
2571;1883;
2591;1887;
2611;1882;
2631;1870;
2651;1890;
2671;1872;
2691;1878;
2711;1869;
2731;1867;
2751;1837;
2771;1863;
2791;1857;
2811;1873;
2831;1867;
2851;1847;
2871;1866;
2891;1872;
2911;1872;
2931;1872;
2951;1855;
2971;1856;
2991;1898;
3011;1866;
3031;1885;
3051;1879;
3071;1872;
3091;1855;
3111;1867;
3131;1865;
3151;1875;
3171;1859;
3191;1872;
3211;1863;
3231;1867;
3251;1883;
3271;1851;
3291;1882;
3311;1860;
3331;1857;
3351;1877;
3371;1872;
3391;1875;
3411;1861;
3431;1873;
3451;1844;
3471;1859;
3491;1866;
3511;1872;
3531;1863;
3551;1872;
3571;1871;
3591;1879;
3611;1861;
3631;1885;
3651;1872;
3671;1867;
3691;1851;
3711;1845;
3731;1855;
3751;1872;
3771;1843;
3791;1858;
3811;1872;
3831;1881;
3851;1853;
3871;1863;
3891;1872;
3911;1873;
3931;1872;
3951;1885;
3971;1885;
3991;1859;
4011;1866;
4031;1879;
4051;1872;
4071;1850;
4091;1841;
4111;1872;
4131;1905;
4151;1879;
4171;1853;
4191;1852;
4211;1885;
4231;1877;
4251;1862;
4271;1870;
4291;1859;
4311;1884;
4331;1873;
4351;1872;
4371;1854;
4391;1863;
4411;1857;
4431;1856;
4451;1857;
4471;1863;
4491;1885;
4511;1889;
4531;1882;
4551;1849;
4571;1872;
4591;1863;
4611;1870;
4631;1859;
4651;1870;
4671;1861;
4691;1857;
4711;1855;
4731;1872;
4751;1867;
4771;1887;
4791;1854;
4811;1858;
4831;1854;
4851;1872;
4871;1858;
4891;1873;
4911;1863;
4931;1870;
4951;1859;
4971;1886;
4991;1871;
5011;1873;
5031;1870;
5051;1885;
5071;1851;
5091;1855;
5111;1895;
5131;1863;
5151;1875;
5171;1872;
5191;1889;
5211;1879;
5231;1878;
5251;1856;
5271;1872;
5291;1867;
5311;1859;
5331;1866;
5351;1875;
5371;1863;
5391;1872;
5411;1875;
5431;1861;
